tier,standard,note,ga_weeks,stratum,efw_g,ac_cm,hc_cm,centile,expect_centile,expect_efw_g,expect_delta,tolerance
1,nichd,published knot,29,white,1111,,,,3,,,0.05
1,nichd,published knot,29,white,1141,,,,5,,,0.05
1,nichd,published knot,29,white,1188,,,,10,,,0.05
1,nichd,published knot,29,white,1373,,,,50,,,0.05
1,nichd,published knot,29,white,1587,,,,90,,,0.05
1,nichd,published knot,29,white,1653,,,,95,,,0.05
1,nichd,published knot,29,white,1697,,,,97,,,0.05
1,nichd,published knot,30,white,1255,,,,3,,,0.05
1,nichd,published knot,30,white,1289,,,,5,,,0.05
1,nichd,published knot,30,white,1343,,,,10,,,0.05
1,nichd,published knot,30,white,1555,,,,50,,,0.05
1,nichd,published knot,30,white,1799,,,,90,,,0.05
1,nichd,published knot,30,white,1875,,,,95,,,0.05
1,nichd,published knot,30,white,1926,,,,97,,,0.05
1,nichd,published knot,31,white,1409,,,,3,,,0.05
1,nichd,published knot,31,white,1447,,,,5,,,0.05
1,nichd,published knot,31,white,1509,,,,10,,,0.05
1,nichd,published knot,31,white,1750,,,,50,,,0.05
1,nichd,published knot,31,white,2029,,,,90,,,0.05
1,nichd,published knot,31,white,2116,,,,95,,,0.05
1,nichd,published knot,31,white,2174,,,,97,,,0.05
1,nichd,published knot,32,white,1571,,,,3,,,0.05
1,nichd,published knot,32,white,1615,,,,5,,,0.05
1,nichd,published knot,32,white,1686,,,,10,,,0.05
1,nichd,published knot,32,white,1958,,,,50,,,0.05
1,nichd,published knot,32,white,2276,,,,90,,,0.05
1,nichd,published knot,32,white,2374,,,,95,,,0.05
1,nichd,published knot,32,white,2441,,,,97,,,0.05
1,nichd,published knot,33,white,1741,,,,3,,,0.05
1,nichd,published knot,33,white,1790,,,,5,,,0.05
1,nichd,published knot,33,white,1869,,,,10,,,0.05
1,nichd,published knot,33,white,2178,,,,50,,,0.05
1,nichd,published knot,33,white,2537,,,,90,,,0.05
1,nichd,published knot,33,white,2649,,,,95,,,0.05
1,nichd,published knot,33,white,2724,,,,97,,,0.05
1,nichd,published knot,34,white,1914,,,,3,,,0.05
1,nichd,published knot,34,white,1969,,,,5,,,0.05
1,nichd,published knot,34,white,2058,,,,10,,,0.05
1,nichd,published knot,34,white,2404,,,,50,,,0.05
1,nichd,published knot,34,white,2809,,,,90,,,0.05
1,nichd,published knot,34,white,2936,,,,95,,,0.05
1,nichd,published knot,34,white,3021,,,,97,,,0.05
1,nichd,published knot,35,white,2086,,,,3,,,0.05
1,nichd,published knot,35,white,2148,,,,5,,,0.05
1,nichd,published knot,35,white,2247,,,,10,,,0.05
1,nichd,published knot,35,white,2634,,,,50,,,0.05
1,nichd,published knot,35,white,3088,,,,90,,,0.05
1,nichd,published knot,35,white,3230,,,,95,,,0.05
1,nichd,published knot,35,white,3326,,,,97,,,0.05
1,nichd,published knot,36,white,2254,,,,3,,,0.05
1,nichd,published knot,36,white,2323,,,,5,,,0.05
1,nichd,published knot,36,white,2432,,,,10,,,0.05
1,nichd,published knot,36,white,2862,,,,50,,,0.05
1,nichd,published knot,36,white,3368,,,,90,,,0.05
1,nichd,published knot,36,white,3527,,,,95,,,0.05
1,nichd,published knot,36,white,3635,,,,97,,,0.05
1,nichd,published knot,37,white,2413,,,,3,,,0.05
1,nichd,published knot,37,white,2489,,,,5,,,0.05
1,nichd,published knot,37,white,2609,,,,10,,,0.05
1,nichd,published knot,37,white,3084,,,,50,,,0.05
1,nichd,published knot,37,white,3645,,,,90,,,0.05
1,nichd,published knot,37,white,3822,,,,95,,,0.05
1,nichd,published knot,37,white,3942,,,,97,,,0.05
1,nichd,published knot,38,white,2562,,,,3,,,0.05
1,nichd,published knot,38,white,2645,,,,5,,,0.05
1,nichd,published knot,38,white,2777,,,,10,,,0.05
1,nichd,published knot,38,white,3299,,,,50,,,0.05
1,nichd,published knot,38,white,3918,,,,90,,,0.05
1,nichd,published knot,38,white,4114,,,,95,,,0.05
1,nichd,published knot,38,white,4246,,,,97,,,0.05
1,nichd,published knot,39,white,2701,,,,3,,,0.05
1,nichd,published knot,39,white,2790,,,,5,,,0.05
1,nichd,published knot,39,white,2934,,,,10,,,0.05
1,nichd,published knot,39,white,3505,,,,50,,,0.05
1,nichd,published knot,39,white,4186,,,,90,,,0.05
1,nichd,published knot,39,white,4402,,,,95,,,0.05
1,nichd,published knot,39,white,4548,,,,97,,,0.05
1,nichd,published knot,40,white,2826,,,,3,,,0.05
1,nichd,published knot,40,white,2924,,,,5,,,0.05
1,nichd,published knot,40,white,3080,,,,10,,,0.05
1,nichd,published knot,40,white,3702,,,,50,,,0.05
1,nichd,published knot,40,white,4450,,,,90,,,0.05
1,nichd,published knot,40,white,4688,,,,95,,,0.05
1,nichd,published knot,40,white,4850,,,,97,,,0.05
1,nichd,published knot,15,black,93,,,,3,,,0.05
1,nichd,published knot,15,black,96,,,,5,,,0.05
1,nichd,published knot,15,black,99,,,,10,,,0.05
1,nichd,published knot,15,black,114,,,,50,,,0.05
1,nichd,published knot,15,black,130,,,,90,,,0.05
1,nichd,published knot,15,black,135,,,,95,,,0.05
1,nichd,published knot,15,black,138,,,,97,,,0.05
1,nichd,published knot,16,black,118,,,,3,,,0.05
1,nichd,published knot,16,black,121,,,,5,,,0.05
1,nichd,published knot,16,black,126,,,,10,,,0.05
1,nichd,published knot,16,black,144,,,,50,,,0.05
1,nichd,published knot,16,black,164,,,,90,,,0.05
1,nichd,published knot,16,black,171,,,,95,,,0.05
1,nichd,published knot,16,black,175,,,,97,,,0.05
1,nichd,published knot,17,black,147,,,,3,,,0.05
1,nichd,published knot,17,black,151,,,,5,,,0.05
1,nichd,published knot,17,black,157,,,,10,,,0.05
1,nichd,published knot,17,black,180,,,,50,,,0.05
1,nichd,published knot,17,black,206,,,,90,,,0.05
1,nichd,published knot,17,black,214,,,,95,,,0.05
1,nichd,published knot,17,black,219,,,,97,,,0.05
1,nichd,published knot,18,black,182,,,,3,,,0.05
1,nichd,published knot,18,black,186,,,,5,,,0.05
1,nichd,published knot,18,black,194,,,,10,,,0.05
1,nichd,published knot,18,black,222,,,,50,,,0.05
1,nichd,published knot,18,black,254,,,,90,,,0.05
1,nichd,published knot,18,black,264,,,,95,,,0.05
1,nichd,published knot,18,black,271,,,,97,,,0.05
1,nichd,published knot,19,black,222,,,,3,,,0.05
1,nichd,published knot,19,black,228,,,,5,,,0.05
1,nichd,published knot,19,black,236,,,,10,,,0.05
1,nichd,published knot,19,black,271,,,,50,,,0.05
1,nichd,published knot,19,black,311,,,,90,,,0.05
1,nichd,published knot,19,black,323,,,,95,,,0.05
1,nichd,published knot,19,black,331,,,,97,,,0.05
1,nichd,published knot,20,black,268,,,,3,,,0.05
1,nichd,published knot,20,black,275,,,,5,,,0.05
1,nichd,published knot,20,black,286,,,,10,,,0.05
1,nichd,published knot,20,black,328,,,,50,,,0.05
1,nichd,published knot,20,black,376,,,,90,,,0.05
1,nichd,published knot,20,black,391,,,,95,,,0.05
1,nichd,published knot,20,black,401,,,,97,,,0.05
1,nichd,published knot,21,black,321,,,,3,,,0.05
1,nichd,published knot,21,black,329,,,,5,,,0.05
1,nichd,published knot,21,black,342,,,,10,,,0.05
1,nichd,published knot,21,black,393,,,,50,,,0.05
1,nichd,published knot,21,black,451,,,,90,,,0.05
1,nichd,published knot,21,black,469,,,,95,,,0.05
1,nichd,published knot,21,black,481,,,,97,,,0.05
1,nichd,published knot,22,black,381,,,,3,,,0.05
1,nichd,published knot,22,black,390,,,,5,,,0.05
1,nichd,published knot,22,black,406,,,,10,,,0.05
1,nichd,published knot,22,black,467,,,,50,,,0.05
1,nichd,published knot,22,black,536,,,,90,,,0.05
1,nichd,published knot,22,black,558,,,,95,,,0.05
1,nichd,published knot,22,black,572,,,,97,,,0.05
1,nichd,published knot,23,black,448,,,,3,,,0.05
1,nichd,published knot,23,black,460,,,,5,,,0.05
1,nichd,published knot,23,black,478,,,,10,,,0.05
1,nichd,published knot,23,black,550,,,,50,,,0.05
1,nichd,published knot,23,black,633,,,,90,,,0.05
1,nichd,published knot,23,black,658,,,,95,,,0.05
1,nichd,published knot,23,black,676,,,,97,,,0.05
1,nichd,published knot,24,black,524,,,,3,,,0.05
1,nichd,published knot,24,black,538,,,,5,,,0.05
1,nichd,published knot,24,black,559,,,,10,,,0.05
1,nichd,published knot,24,black,644,,,,50,,,0.05
1,nichd,published knot,24,black,742,,,,90,,,0.05
1,nichd,published knot,24,black,772,,,,95,,,0.05
1,nichd,published knot,24,black,792,,,,97,,,0.05
1,nichd,published knot,25,black,609,,,,3,,,0.05
1,nichd,published knot,25,black,625,,,,5,,,0.05
1,nichd,published knot,25,black,650,,,,10,,,0.05
1,nichd,published knot,25,black,749,,,,50,,,0.05
1,nichd,published knot,25,black,864,,,,90,,,0.05
1,nichd,published knot,25,black,899,,,,95,,,0.05
1,nichd,published knot,25,black,923,,,,97,,,0.05
1,nichd,published knot,26,black,703,,,,3,,,0.05
1,nichd,published knot,26,black,722,,,,5,,,0.05
1,nichd,published knot,26,black,751,,,,10,,,0.05
1,nichd,published knot,26,black,867,,,,50,,,0.05
1,nichd,published knot,26,black,1000,,,,90,,,0.05
1,nichd,published knot,26,black,1041,,,,95,,,0.05
1,nichd,published knot,26,black,1069,,,,97,,,0.05
1,nichd,published knot,27,black,807,,,,3,,,0.05
1,nichd,published knot,27,black,828,,,,5,,,0.05
1,nichd,published knot,27,black,863,,,,10,,,0.05
1,nichd,published knot,27,black,996,,,,50,,,0.05
1,nichd,published knot,27,black,1151,,,,90,,,0.05
1,nichd,published knot,27,black,1199,,,,95,,,0.05
1,nichd,published knot,27,black,1231,,,,97,,,0.05
1,nichd,published knot,28,black,921,,,,3,,,0.05
1,nichd,published knot,28,black,946,,,,5,,,0.05
1,nichd,published knot,28,black,985,,,,10,,,0.05
1,nichd,published knot,28,black,1139,,,,50,,,0.05
1,nichd,published knot,28,black,1317,,,,90,,,0.05
1,nichd,published knot,28,black,1372,,,,95,,,0.05
1,nichd,published knot,28,black,1409,,,,97,,,0.05
1,nichd,published knot,29,black,1044,,,,3,,,0.05
1,nichd,published knot,29,black,1073,,,,5,,,0.05
1,nichd,published knot,29,black,1118,,,,10,,,0.05
1,nichd,published knot,29,black,1294,,,,50,,,0.05
1,nichd,published knot,29,black,1498,,,,90,,,0.05
1,nichd,published knot,29,black,1562,,,,95,,,0.05
1,nichd,published knot,29,black,1604,,,,97,,,0.05
1,nichd,published knot,30,black,1178,,,,3,,,0.05
1,nichd,published knot,30,black,1210,,,,5,,,0.05
1,nichd,published knot,30,black,1262,,,,10,,,0.05
1,nichd,published knot,30,black,1463,,,,50,,,0.05
1,nichd,published knot,30,black,1695,,,,90,,,0.05
1,nichd,published knot,30,black,1768,,,,95,,,0.05
1,nichd,published knot,30,black,1816,,,,97,,,0.05
1,nichd,published knot,31,black,1321,,,,3,,,0.05
1,nichd,published knot,31,black,1358,,,,5,,,0.05
1,nichd,published knot,31,black,1416,,,,10,,,0.05
1,nichd,published knot,31,black,1644,,,,50,,,0.05
1,nichd,published knot,31,black,1908,,,,90,,,0.05
1,nichd,published knot,31,black,1990,,,,95,,,0.05
1,nichd,published knot,31,black,2045,,,,97,,,0.05
1,nichd,published knot,32,black,1472,,,,3,,,0.05
1,nichd,published knot,32,black,1513,,,,5,,,0.05
1,nichd,published knot,32,black,1579,,,,10,,,0.05
1,nichd,published knot,32,black,1836,,,,50,,,0.05
1,nichd,published knot,32,black,2135,,,,90,,,0.05
1,nichd,published knot,32,black,2228,,,,95,,,0.05
1,nichd,published knot,32,black,2290,,,,97,,,0.05
1,nichd,published knot,33,black,1629,,,,3,,,0.05
1,nichd,published knot,33,black,1676,,,,5,,,0.05
1,nichd,published knot,33,black,1749,,,,10,,,0.05
1,nichd,published knot,33,black,2038,,,,50,,,0.05
1,nichd,published knot,33,black,2373,,,,90,,,0.05
1,nichd,published knot,33,black,2478,,,,95,,,0.05
1,nichd,published knot,33,black,2548,,,,97,,,0.05
1,nichd,published knot,34,black,1789,,,,3,,,0.05
1,nichd,published knot,34,black,1841,,,,5,,,0.05
1,nichd,published knot,34,black,1923,,,,10,,,0.05
1,nichd,published knot,34,black,2244,,,,50,,,0.05
1,nichd,published knot,34,black,2619,,,,90,,,0.05
1,nichd,published knot,34,black,2737,,,,95,,,0.05
1,nichd,published knot,34,black,2816,,,,97,,,0.05
1,nichd,published knot,35,black,1948,,,,3,,,0.05
1,nichd,published knot,35,black,2005,,,,5,,,0.05
1,nichd,published knot,35,black,2096,,,,10,,,0.05
1,nichd,published knot,35,black,2452,,,,50,,,0.05
1,nichd,published knot,35,black,2868,,,,90,,,0.05
1,nichd,published knot,35,black,2999,,,,95,,,0.05
1,nichd,published knot,35,black,3087,,,,97,,,0.05
1,nichd,published knot,36,black,2101,,,,3,,,0.05
1,nichd,published knot,36,black,2164,,,,5,,,0.05
1,nichd,published knot,36,black,2264,,,,10,,,0.05
1,nichd,published knot,36,black,2655,,,,50,,,0.05
1,nichd,published knot,36,black,3115,,,,90,,,0.05
1,nichd,published knot,36,black,3259,,,,95,,,0.05
1,nichd,published knot,36,black,3356,,,,97,,,0.05
1,nichd,published knot,37,black,2249,,,,3,,,0.05
1,nichd,published knot,37,black,2317,,,,5,,,0.05
1,nichd,published knot,37,black,2427,,,,10,,,0.05
1,nichd,published knot,37,black,2855,,,,50,,,0.05
1,nichd,published knot,37,black,3359,,,,90,,,0.05
1,nichd,published knot,37,black,3517,,,,95,,,0.05
1,nichd,published knot,37,black,3624,,,,97,,,0.05
1,nichd,published knot,38,black,2394,,,,3,,,0.05
1,nichd,published knot,38,black,2468,,,,5,,,0.05
1,nichd,published knot,38,black,2587,,,,10,,,0.05
1,nichd,published knot,38,black,3054,,,,50,,,0.05
1,nichd,published knot,38,black,3605,,,,90,,,0.05
1,nichd,published knot,38,black,3779,,,,95,,,0.05
1,nichd,published knot,38,black,3896,,,,97,,,0.05
1,nichd,published knot,39,black,2541,,,,3,,,0.05
1,nichd,published knot,39,black,2621,,,,5,,,0.05
1,nichd,published knot,39,black,2751,,,,10,,,0.05
1,nichd,published knot,39,black,3260,,,,50,,,0.05
1,nichd,published knot,39,black,3863,,,,90,,,0.05
1,nichd,published knot,39,black,4053,,,,95,,,0.05
1,nichd,published knot,39,black,4182,,,,97,,,0.05
1,nichd,published knot,40,black,2693,,,,3,,,0.05
1,nichd,published knot,40,black,2781,,,,5,,,0.05
1,nichd,published knot,40,black,2922,,,,10,,,0.05
1,nichd,published knot,40,black,3479,,,,50,,,0.05
1,nichd,published knot,40,black,4142,,,,90,,,0.05
1,nichd,published knot,40,black,4352,,,,95,,,0.05
1,nichd,published knot,40,black,4494,,,,97,,,0.05
1,nichd,published knot,15,hispanic,88,,,,3,,,0.05
1,nichd,published knot,15,hispanic,90,,,,5,,,0.05
1,nichd,published knot,15,hispanic,94,,,,10,,,0.05
1,nichd,published knot,15,hispanic,109,,,,50,,,0.05
1,nichd,published knot,15,hispanic,127,,,,90,,,0.05
1,nichd,published knot,15,hispanic,133,,,,95,,,0.05
1,nichd,published knot,15,hispanic,136,,,,97,,,0.05
1,nichd,published knot,16,hispanic,112,,,,3,,,0.05
1,nichd,published knot,16,hispanic,115,,,,5,,,0.05
1,nichd,published knot,16,hispanic,120,,,,10,,,0.05
1,nichd,published knot,16,hispanic,140,,,,50,,,0.05
1,nichd,published knot,16,hispanic,162,,,,90,,,0.05
1,nichd,published knot,16,hispanic,169,,,,95,,,0.05
1,nichd,published knot,16,hispanic,174,,,,97,,,0.05
1,nichd,published knot,17,hispanic,141,,,,3,,,0.05
1,nichd,published knot,17,hispanic,145,,,,5,,,0.05
1,nichd,published knot,17,hispanic,151,,,,10,,,0.05
1,nichd,published knot,17,hispanic,176,,,,50,,,0.05
1,nichd,published knot,17,hispanic,204,,,,90,,,0.05
1,nichd,published knot,17,hispanic,213,,,,95,,,0.05
1,nichd,published knot,17,hispanic,219,,,,97,,,0.05
1,nichd,published knot,18,hispanic,175,,,,3,,,0.05
1,nichd,published knot,18,hispanic,180,,,,5,,,0.05
1,nichd,published knot,18,hispanic,188,,,,10,,,0.05
1,nichd,published knot,18,hispanic,218,,,,50,,,0.05
1,nichd,published knot,18,hispanic,254,,,,90,,,0.05
1,nichd,published knot,18,hispanic,265,,,,95,,,0.05
1,nichd,published knot,18,hispanic,272,,,,97,,,0.05
1,nichd,published knot,19,hispanic,215,,,,3,,,0.05
1,nichd,published knot,19,hispanic,221,,,,5,,,0.05
1,nichd,published knot,19,hispanic,230,,,,10,,,0.05
1,nichd,published knot,19,hispanic,268,,,,50,,,0.05
1,nichd,published knot,19,hispanic,312,,,,90,,,0.05
1,nichd,published knot,19,hispanic,325,,,,95,,,0.05
1,nichd,published knot,19,hispanic,334,,,,97,,,0.05
1,nichd,published knot,20,hispanic,260,,,,3,,,0.05
1,nichd,published knot,20,hispanic,268,,,,5,,,0.05
1,nichd,published knot,20,hispanic,279,,,,10,,,0.05
1,nichd,published knot,20,hispanic,325,,,,50,,,0.05
1,nichd,published knot,20,hispanic,379,,,,90,,,0.05
1,nichd,published knot,20,hispanic,395,,,,95,,,0.05
1,nichd,published knot,20,hispanic,407,,,,97,,,0.05
1,nichd,published knot,21,hispanic,313,,,,3,,,0.05
1,nichd,published knot,21,hispanic,322,,,,5,,,0.05
1,nichd,published knot,21,hispanic,336,,,,10,,,0.05
1,nichd,published knot,21,hispanic,391,,,,50,,,0.05
1,nichd,published knot,21,hispanic,456,,,,90,,,0.05
1,nichd,published knot,21,hispanic,476,,,,95,,,0.05
1,nichd,published knot,21,hispanic,489,,,,97,,,0.05
1,nichd,published knot,22,hispanic,372,,,,3,,,0.05
1,nichd,published knot,22,hispanic,383,,,,5,,,0.05
1,nichd,published knot,22,hispanic,400,,,,10,,,0.05
1,nichd,published knot,22,hispanic,466,,,,50,,,0.05
1,nichd,published knot,22,hispanic,544,,,,90,,,0.05
1,nichd,published knot,22,hispanic,568,,,,95,,,0.05
1,nichd,published knot,22,hispanic,584,,,,97,,,0.05
1,nichd,published knot,23,hispanic,440,,,,3,,,0.05
1,nichd,published knot,23,hispanic,453,,,,5,,,0.05
1,nichd,published knot,23,hispanic,473,,,,10,,,0.05
1,nichd,published knot,23,hispanic,551,,,,50,,,0.05
1,nichd,published knot,23,hispanic,643,,,,90,,,0.05
1,nichd,published knot,23,hispanic,672,,,,95,,,0.05
1,nichd,published knot,23,hispanic,691,,,,97,,,0.05
1,nichd,published knot,24,hispanic,516,,,,3,,,0.05
1,nichd,published knot,24,hispanic,531,,,,5,,,0.05
1,nichd,published knot,24,hispanic,555,,,,10,,,0.05
1,nichd,published knot,24,hispanic,647,,,,50,,,0.05
1,nichd,published knot,24,hispanic,755,,,,90,,,0.05
1,nichd,published knot,24,hispanic,789,,,,95,,,0.05
1,nichd,published knot,24,hispanic,812,,,,97,,,0.05
1,nichd,published knot,25,hispanic,601,,,,3,,,0.05
1,nichd,published knot,25,hispanic,619,,,,5,,,0.05
1,nichd,published knot,25,hispanic,646,,,,10,,,0.05
1,nichd,published knot,25,hispanic,755,,,,50,,,0.05
1,nichd,published knot,25,hispanic,882,,,,90,,,0.05
1,nichd,published knot,25,hispanic,921,,,,95,,,0.05
1,nichd,published knot,25,hispanic,948,,,,97,,,0.05
1,nichd,published knot,26,hispanic,696,,,,3,,,0.05
1,nichd,published knot,26,hispanic,716,,,,5,,,0.05
1,nichd,published knot,26,hispanic,749,,,,10,,,0.05
1,nichd,published knot,26,hispanic,875,,,,50,,,0.05
1,nichd,published knot,26,hispanic,1023,,,,90,,,0.05
1,nichd,published knot,26,hispanic,1069,,,,95,,,0.05
1,nichd,published knot,26,hispanic,1100,,,,97,,,0.05
1,nichd,published knot,27,hispanic,801,,,,3,,,0.05
1,nichd,published knot,27,hispanic,825,,,,5,,,0.05
1,nichd,published knot,27,hispanic,862,,,,10,,,0.05
1,nichd,published knot,27,hispanic,1009,,,,50,,,0.05
1,nichd,published knot,27,hispanic,1180,,,,90,,,0.05
1,nichd,published knot,27,hispanic,1234,,,,95,,,0.05
1,nichd,published knot,27,hispanic,1270,,,,97,,,0.05
1,nichd,published knot,28,hispanic,917,,,,3,,,0.05
1,nichd,published knot,28,hispanic,944,,,,5,,,0.05
1,nichd,published knot,28,hispanic,987,,,,10,,,0.05
1,nichd,published knot,28,hispanic,1156,,,,50,,,0.05
1,nichd,published knot,28,hispanic,1353,,,,90,,,0.05
1,nichd,published knot,28,hispanic,1415,,,,95,,,0.05
1,nichd,published knot,28,hispanic,1457,,,,97,,,0.05
1,nichd,published knot,29,hispanic,1043,,,,3,,,0.05
1,nichd,published knot,29,hispanic,1074,,,,5,,,0.05
1,nichd,published knot,29,hispanic,1123,,,,10,,,0.05
1,nichd,published knot,29,hispanic,1316,,,,50,,,0.05
1,nichd,published knot,29,hispanic,1543,,,,90,,,0.05
1,nichd,published knot,29,hispanic,1614,,,,95,,,0.05
1,nichd,published knot,29,hispanic,1662,,,,97,,,0.05
1,nichd,published knot,30,hispanic,1178,,,,3,,,0.05
1,nichd,published knot,30,hispanic,1214,,,,5,,,0.05
1,nichd,published knot,30,hispanic,1270,,,,10,,,0.05
1,nichd,published knot,30,hispanic,1490,,,,50,,,0.05
1,nichd,published knot,30,hispanic,1749,,,,90,,,0.05
1,nichd,published knot,30,hispanic,1830,,,,95,,,0.05
1,nichd,published knot,30,hispanic,1885,,,,97,,,0.05
1,nichd,published knot,31,hispanic,1324,,,,3,,,0.05
1,nichd,published knot,31,hispanic,1364,,,,5,,,0.05
1,nichd,published knot,31,hispanic,1428,,,,10,,,0.05
1,nichd,published knot,31,hispanic,1677,,,,50,,,0.05
1,nichd,published knot,31,hispanic,1971,,,,90,,,0.05
1,nichd,published knot,31,hispanic,2063,,,,95,,,0.05
1,nichd,published knot,31,hispanic,2126,,,,97,,,0.05
1,nichd,published knot,32,hispanic,1478,,,,3,,,0.05
1,nichd,published knot,32,hispanic,1523,,,,5,,,0.05
1,nichd,published knot,32,hispanic,1595,,,,10,,,0.05
1,nichd,published knot,32,hispanic,1877,,,,50,,,0.05
1,nichd,published knot,32,hispanic,2209,,,,90,,,0.05
1,nichd,published knot,32,hispanic,2313,,,,95,,,0.05
1,nichd,published knot,32,hispanic,2384,,,,97,,,0.05
1,nichd,published knot,33,hispanic,1638,,,,3,,,0.05
