case,ga_days,ac_mm,hc_mm,fl_mm,bpd_mm,sex,race,fgps_efw_g,fgps_who,fgps_nichd,fgps_intergrowth,fgps_hadlock,compare_who,compare_nichd,compare_intergrowth,compare_hadlock,note
no_bpd,157,183.5,209.2,40.2,,female,asian,560.1,95.6,95.5,89.0,75.6,0,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with; WHO comparison excluded: EFW outside the tabulated centile band, where FetalGPSX and FetalGPSR disagree with each other"
no_bpd,157,183.5,209.2,40.2,,male,asian,560.1,89.7,95.5,89.0,75.6,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,183.5,209.2,40.2,,combined,asian,560.1,92.2,95.5,89.0,75.6,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,191.1,215.3,41.7,,female,white,620.1,32.4,26.9,42.7,28.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,191.1,215.3,41.7,,male,white,620.1,19.8,26.9,42.7,28.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,191.1,215.3,41.7,,combined,white,620.1,26.1,26.9,42.7,28.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,191.1,215.3,41.7,,female,black,620.1,32.4,38.8,42.7,28.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,191.1,215.3,41.7,,male,black,620.1,19.8,38.8,42.7,28.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,191.1,215.3,41.7,,combined,black,620.1,26.1,38.8,42.7,28.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,191.1,215.3,41.7,,female,hispanic,620.1,32.4,38.3,42.7,28.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,191.1,215.3,41.7,,male,hispanic,620.1,19.8,38.3,42.7,28.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,191.1,215.3,41.7,,combined,hispanic,620.1,26.1,38.3,42.7,28.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,191.1,215.3,41.7,,female,asian,620.1,32.4,43.7,42.7,28.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,191.1,215.3,41.7,,male,asian,620.1,19.8,43.7,42.7,28.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,191.1,215.3,41.7,,combined,asian,620.1,26.1,43.7,42.7,28.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,197.0,222.0,43.0,,female,white,675.5,63.8,51.8,72.5,52.7,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,197.0,222.0,43.0,,male,white,675.5,47.0,51.8,72.5,52.7,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,197.0,222.0,43.0,,combined,white,675.5,55.3,51.8,72.5,52.7,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,197.0,222.0,43.0,,female,black,675.5,63.8,62.9,72.5,52.7,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,197.0,222.0,43.0,,male,black,675.5,47.0,62.9,72.5,52.7,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,197.0,222.0,43.0,,combined,black,675.5,55.3,62.9,72.5,52.7,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,197.0,222.0,43.0,,female,hispanic,675.5,63.8,60.6,72.5,52.7,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,197.0,222.0,43.0,,male,hispanic,675.5,47.0,60.6,72.5,52.7,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,197.0,222.0,43.0,,combined,hispanic,675.5,55.3,60.6,72.5,52.7,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,197.0,222.0,43.0,,female,asian,675.5,63.8,66.1,72.5,52.7,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,197.0,222.0,43.0,,male,asian,675.5,47.0,66.1,72.5,52.7,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,197.0,222.0,43.0,,combined,asian,675.5,55.3,66.1,72.5,52.7,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,202.9,228.7,44.3,,female,white,735.1,88.3,75.6,91.0,77.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,202.9,228.7,44.3,,male,white,735.1,76.4,75.6,91.0,77.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,202.9,228.7,44.3,,combined,white,735.1,81.0,75.6,91.0,77.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,202.9,228.7,44.3,,female,black,735.1,88.3,87.2,91.0,77.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,202.9,228.7,44.3,,male,black,735.1,76.4,87.2,91.0,77.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,202.9,228.7,44.3,,combined,black,735.1,81.0,87.2,91.0,77.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,202.9,228.7,44.3,,female,hispanic,735.1,88.3,82.6,91.0,77.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,202.9,228.7,44.3,,male,hispanic,735.1,76.4,82.6,91.0,77.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,202.9,228.7,44.3,,combined,hispanic,735.1,81.0,82.6,91.0,77.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,202.9,228.7,44.3,,female,asian,735.1,88.3,89.3,91.0,77.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,202.9,228.7,44.3,,male,asian,735.1,76.4,89.3,91.0,77.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,168,202.9,228.7,44.3,,combined,asian,735.1,81.0,89.3,91.0,77.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,212.4,236.7,46.6,,female,white,837.9,31.5,25.6,41.6,25.8,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,212.4,236.7,46.6,,male,white,837.9,19.2,25.6,41.6,25.8,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,212.4,236.7,46.6,,combined,white,837.9,25.0,25.6,41.6,25.8,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,212.4,236.7,46.6,,female,black,837.9,31.5,40.0,41.6,25.8,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,212.4,236.7,46.6,,male,black,837.9,19.2,40.0,41.6,25.8,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,212.4,236.7,46.6,,combined,black,837.9,25.0,40.0,41.6,25.8,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,212.4,236.7,46.6,,female,hispanic,837.9,31.5,38.2,41.6,25.8,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,212.4,236.7,46.6,,male,hispanic,837.9,19.2,38.2,41.6,25.8,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,212.4,236.7,46.6,,combined,hispanic,837.9,25.0,38.2,41.6,25.8,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,212.4,236.7,46.6,,female,asian,837.9,31.5,42.9,41.6,25.8,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,212.4,236.7,46.6,,male,asian,837.9,19.2,42.9,41.6,25.8,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,212.4,236.7,46.6,,combined,asian,837.9,25.0,42.9,41.6,25.8,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,219.0,244.0,48.0,,female,white,916.2,63.7,51.5,71.3,51.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,219.0,244.0,48.0,,male,white,916.2,47.3,51.5,71.3,51.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,219.0,244.0,48.0,,combined,white,916.2,55.1,51.5,71.3,51.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,219.0,244.0,48.0,,female,black,916.2,63.7,64.8,71.3,51.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,219.0,244.0,48.0,,male,black,916.2,47.3,64.8,71.3,51.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,219.0,244.0,48.0,,combined,black,916.2,55.1,64.8,71.3,51.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,219.0,244.0,48.0,,female,hispanic,916.2,63.7,61.1,71.3,51.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,219.0,244.0,48.0,,male,hispanic,916.2,47.3,61.1,71.3,51.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,219.0,244.0,48.0,,combined,hispanic,916.2,55.1,61.1,71.3,51.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,219.0,244.0,48.0,,female,asian,916.2,63.7,66.6,71.3,51.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,219.0,244.0,48.0,,male,asian,916.2,47.3,66.6,71.3,51.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,219.0,244.0,48.0,,combined,asian,916.2,55.1,66.6,71.3,51.0,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,225.6,251.3,49.4,,female,white,1000.5,89.3,75.8,90.4,77.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,225.6,251.3,49.4,,male,white,1000.5,77.2,75.8,90.4,77.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,225.6,251.3,49.4,,combined,white,1000.5,81.6,75.8,90.4,77.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,225.6,251.3,49.4,,female,black,1000.5,89.3,90.1,90.4,77.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,225.6,251.3,49.4,,male,black,1000.5,77.2,90.1,90.4,77.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,225.6,251.3,49.4,,combined,black,1000.5,81.6,90.1,90.4,77.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,225.6,251.3,49.4,,female,hispanic,1000.5,89.3,83.9,90.4,77.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,225.6,251.3,49.4,,male,hispanic,1000.5,77.2,83.9,90.4,77.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,225.6,251.3,49.4,,combined,hispanic,1000.5,81.6,83.9,90.4,77.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,225.6,251.3,49.4,,female,asian,1000.5,89.3,90.4,90.4,77.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,225.6,251.3,49.4,,male,asian,1000.5,77.2,90.4,90.4,77.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,182,225.6,251.3,49.4,,combined,asian,1000.5,81.6,90.4,90.4,77.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,196,232.8,256.1,50.4,,female,white,1080.2,24.4,18.8,38.8,19.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,196,232.8,256.1,50.4,,male,white,1080.2,15.1,18.8,38.8,19.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,196,232.8,256.1,50.4,,combined,white,1080.2,20.7,18.8,38.8,19.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,196,232.8,256.1,50.4,,female,black,1080.2,24.4,34.7,38.8,19.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,196,232.8,256.1,50.4,,male,black,1080.2,15.1,34.7,38.8,19.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,196,232.8,256.1,50.4,,combined,black,1080.2,20.7,34.7,38.8,19.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,196,232.8,256.1,50.4,,female,hispanic,1080.2,24.4,32.1,38.8,19.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,196,232.8,256.1,50.4,,male,hispanic,1080.2,15.1,32.1,38.8,19.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,196,232.8,256.1,50.4,,combined,hispanic,1080.2,20.7,32.1,38.8,19.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
